compound,receptor,seed,pose_rank,score_kcal_mol,pose_file
18,8Z8A,20260803,5,-5.17,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed20260803.pdbqt
18,8Z8A,1,1,-7.473,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt
18,8Z8A,1,2,-6.855,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt
18,8Z8A,1,3,-6.819,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt
18,8Z8A,1,4,-6.669,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt
18,8Z8A,1,5,-6.567,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c18_8Z8A_seed1.pdbqt
19,8Z8A,20260803,1,-7.464,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed20260803.pdbqt
19,8Z8A,20260803,2,-6.632,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed20260803.pdbqt
19,8Z8A,20260803,3,-6.423,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed20260803.pdbqt
19,8Z8A,20260803,4,-6.299,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed20260803.pdbqt
19,8Z8A,20260803,5,-6.098,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed20260803.pdbqt
19,8Z8A,1,1,-7.554,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt
19,8Z8A,1,2,-6.717,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt
19,8Z8A,1,3,-6.554,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt
19,8Z8A,1,4,-6.288,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt
19,8Z8A,1,5,-6.132,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c19_8Z8A_seed1.pdbqt
20,8Z8A,20260803,1,-6.655,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed20260803.pdbqt
20,8Z8A,20260803,2,-5.591,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed20260803.pdbqt
20,8Z8A,20260803,3,-4.446,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed20260803.pdbqt
20,8Z8A,1,1,-6.722,/das/user/QYJI/druggability/data/gpr81_phase1/phase6_full_series/poses/c20_8Z8A_seed1.pdbqt
