compound_id,receptor_id,seed,pose_rank,score_kcal_mol,centroid_x,centroid_y,centroid_z
3_OBA,8Z8A,6,3,-4.396,96.231,126.992,124.555
3_OBA,8Z8A,6,4,-4.39,95.702,128.698,126.163
3_OBA,8Z8A,6,5,-4.337,95.587,127.944,125.749
3_OBA,8Z8A,6,6,-4.334,93.819,128.151,125.64
3_OBA,8Z8A,6,7,-4.152,95.984,127.264,125.821
3_OBA,8Z8A,6,8,-4.097,95.341,134.469,134.511
3_OBA,8Z8A,7,1,-4.629,96.127,129.391,126.394
3_OBA,8Z8A,7,2,-4.524,95.956,128.668,126.191
3_OBA,8Z8A,7,3,-4.401,96.278,127.015,124.674
3_OBA,8Z8A,7,4,-4.383,95.615,128.784,126.318
3_OBA,8Z8A,7,5,-4.332,93.83,128.26,125.676
3_OBA,8Z8A,7,6,-4.242,95.628,127.896,125.678
3_OBA,8Z8A,7,7,-4.241,95.394,128.823,125.672
3_OBA,8Z8A,7,8,-4.201,96.308,127.95,125.976
